No. / Nr.,English,Subdivision English,Definition Englisch,Including,Excluding,ICD-11 Foundation entity title,ICD-11 Foundation URI,ICD-11 Code,ICD-11 category Title,Levels of equivalence,Challenges
A - 1,Transport accident,,Adverse event in transport resulting in property damage and/or bodily injury,,,Unintentional transport injury event,http://id.who.int/icd/entity/1609069486,ICD-11 block title,,ERC-Broader,"Conceptual difference,
lack of specificity (ERC)"
A - 1.1,Transport accident,Collision,Transport accident involving a collision of vehicles and/or humans,"Vehicle-vehicle collision, vehicle-human collision, vehicle-obstacle collision",Entrapment,Unintentional transport injury event,http://id.who.int/icd/entity/1609069486,ICD-11 block title,,ERC-Narrower,"Conceptual difference, lack of specificity (ICD-11)"
A - 1.2,Transport accident,Fall,Transport accident involving a crash of vehicles and/or humans into the deep,,Collision,Fall in mode of transport without counterpart,http://id.who.int/icd/entity/730835390,XE0JJ,,ERC-Broader,"Non-unique mapping (1_ERC to M_ICD-11),lack of specificity (ERC)"
,Transport accident,,,,,Fall from mode of transport without counterpart,http://id.who.int/icd/entity/1557737307,XE3M5,,,
A - 1.3,Transport accident,Entrapment,Transport accident involving an entrapment of humans,,,Unintentional transport injury event,http://id.who.int/icd/entity/1609069486,ICD-11 block title,,Related to,"Conceptual difference, lack of specificity (ICD-11)"
A - 2,Fall,,"An adverse event involving a loss of stability or a descent to a lower position, resulting in a human fall.",,,Unintentional fall,http://id.who.int/icd/entity/134290789,ICD-11 block title,,ERC-Broader,"Conceptual difference,
lack of specificity (ERC)"
A - 2.1,Fall,Fall on the same level or from less than 1 meter*,"Falling downward due to gravity, but without a significant change in height or elevation.","Stumbling, slipping, falling from standing position, tripping",Falls in/from modes of transport,Unintentional fall on the same level or from less than 1 metre,http://id.who.int/icd/entity/415990995,PA60,,ERC-Broader,"Conceptual difference,
lack of specificity (ERC)"
A - 2.2,Fall,Fall from a height of 1 meter or more,"Falling downward due to gravity, with a significant change in height or elevation.","Stair, ladder, building",Falls in/from modes of transport,Unintentional fall from a height of 1 metre or more,http://id.who.int/icd/entity/1729453916,PA61,,ERC-Broader,"Conceptual difference,
lack of specificity (ERC)"
A - 2.3,Fall,Fall from unspecified height,"Falling downward due to gravity, where the height is unspecified.",,,,,,,,
A - 3,Natural disaster,,Adverse event with one or more direct natural causes,,,Exposure to extreme forces of nature,http://id.who.int/icd/entity/1491356379,ICD-11 block title,,Equivalent,
A - 3.1,Natural disaster,Storm,Natural disaster caused by strong wind,Tornado cyclone,,Victim of cataclysmic storm,http://id.who.int/icd/entity/1444009771,PJ06,,Equivalent,
A - 3.2,Natural disaster,Flood,Natural disaster caused by high-water levels on usually dry ground,,,Victim of flood,http://id.who.int/icd/entity/802885284,PJ07,,Equivalent,
A - 3.3,Natural disaster,Lightning,Natural disaster caused by electrostatic discharge,,,Victim of lightning,http://id.who.int/icd/entity/1295772309,PJ00,,Equivalent,
A - 3.4,Natural disaster,Earthquake,Natural disaster caused by shaking of the Earth's surface,Earth movement,,Victim of earthquake,http://id.who.int/icd/entity/700289973,PJ01,,Equivalent,
