ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
A1,Transport accident,Adverse event in transport resulting in property damage and/or bodily injury,PA17,Unintentional land transport nontraffic event injuring an occupant of a heavy goods vehicle,unintentional land transport nontraffic event injuring an occupant of a heavy goods vehicle,,"Unintentional land transport nontraffic event injuring an occupant of a heavy transport vehicle; Collision NOS involving heavy transport vehicle, nontraffic; Accident NOS involving heavy transport vehicle, nontraffic; Occupant of heavy transport vehicle injured in nontraffic accident NOS",1,0.7797026038169861,Equivalent
A11,Transport accident,Transport accident involving a collision of vehicles and/or humans,PF4A,Land transport traffic injury event of undetermined intent injuring a user of a special vehicle mainly used in agriculture,land transport traffic injury event of undetermined intent injuring a user of a special vehicle mainly used in agriculture,,,1,0.7392629981040955,Equivalent
A12,Transport accident,Transport accident involving a crash of vehicles and/or humans into the deep,PA2A,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special vehicle mainly used in agriculture,unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special vehicle mainly used in agriculture,,,1,0.6863459348678589,ERC-Narrower
A13,Transport accident,Transport accident involving an entrapment of humans,ICD-11 block title,Unintentional railway transport injury event,unintentional railway transport injury event,,train accident; train crash; Railway accident NOS,1,0.7019485831260681,ERC-Narrower
A2,Fall,"An adverse event involving a loss of stability or a descent to a lower position, resulting in a human fall.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.6176170110702515,ERC-Narrower
A21,Fall,"Falling downward due to gravity, but without a significant change in height or elevation.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.6158440113067627,ERC-Narrower
A22,Fall,"Falling downward due to gravity, with a significant change in height or elevation.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.6068754196166992,ERC-Narrower
A23,Fall,"Falling downward due to gravity, where the height is unspecified.",PG51,Fall or jump of undetermined intent from a height of 1 metre or more,fall or jump of undetermined intent from a height of 1 metre or more,,jumped from height NOS,1,0.6391528248786926,ERC-Narrower
A3,Natural disaster,Adverse event with one or more direct natural causes,PJ06,Victim of cataclysmic storm,victim of cataclysmic storm,,,1,0.5303617119789124,ERC-Broader
A31,Natural disaster,Natural disaster caused by strong wind,PJ06,Victim of cataclysmic storm,victim of cataclysmic storm,,,1,0.5824350118637085,ERC-Broader
A32,Natural disaster,Natural disaster caused by high-water levels on usually dry ground,XE0CX,"Body of water, flood water","body of water, flood water",,,1,0.7289704084396362,Equivalent
A33,Natural disaster,Natural disaster caused by electrostatic discharge,PJ00,Victim of lightning,victim of lightning,,,1,0.6795785427093506,ERC-Narrower
A34,Natural disaster,Natural disaster caused by shaking of the Earth's surface,PJ02,Victim of cataclysmic earth movements caused by earthquake,victim of cataclysmic earth movements caused by earthquake,,,1,0.7581525444984436,Equivalent
