ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
A1,Transport accident,Adverse event in transport resulting in property damage and/or bodily injury,PA0B,Unintentional land transport traffic event injuring a user of a special vehicle mainly used on industrial premises,unintentional land transport traffic event injuring a user of a special vehicle mainly used on industrial premises,,occupant of special vehicle mainly used on industrial premises injured in transport accident; Special-industrial-vehicle accident NOS,1,0.8144921064376831,Equivalent
A11,Transport accident,Transport accident involving a collision of vehicles and/or humans,PA04,Unintentional land transport traffic event injuring a car occupant,unintentional land transport traffic event injuring a car occupant,,car occupant injured in transport accident,1,0.7989349365234375,Equivalent
A12,Transport accident,Transport accident involving a crash of vehicles and/or humans into the deep,PA41.0,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning","unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning",,Accident to watercraft causing drowning and submersion; drowning and submersion due to boat sinking,1,0.6821866631507874,ERC-Narrower
A13,Transport accident,Transport accident involving an entrapment of humans,ICD-11 block title,Railway transport injury event of undetermined intent,railway transport injury event of undetermined intent,,,1,0.6813787221908569,ERC-Narrower
A2,Fall,"An adverse event involving a loss of stability or a descent to a lower position, resulting in a human fall.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.7515689134597778,Equivalent
A21,Fall,"Falling downward due to gravity, but without a significant change in height or elevation.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.773726224899292,Equivalent
A22,Fall,"Falling downward due to gravity, with a significant change in height or elevation.",PA60,Unintentional fall on the same level or from less than 1 metre,unintentional fall on the same level or from less than 1 metre,,ground level fall; fell while ambulating; fall from standing height; fall from standing position; fell from standing,1,0.7186755537986755,ERC-Narrower
A23,Fall,"Falling downward due to gravity, where the height is unspecified.",ICD-11 block title,Fall or jump with undetermined intent,fall or jump with undetermined intent,,fall from height NOS,1,0.6744847893714905,ERC-Narrower
A3,Natural disaster,Adverse event with one or more direct natural causes,PA24,Unintentional land transport event unknown whether traffic or nontraffic injuring a car occupant,unintentional land transport event unknown whether traffic or nontraffic injuring a car occupant,,"unintentional off-road crash injuring a motor vehicle occupant, unknown whether on road; car crash NOS; truck crash NOS",1,0.5566390156745911,ERC-Broader
A31,Natural disaster,Natural disaster caused by strong wind,PJ06,Victim of cataclysmic storm,victim of cataclysmic storm,,,1,0.576102614402771,ERC-Broader
A32,Natural disaster,Natural disaster caused by high-water levels on usually dry ground,XE0CX,"Body of water, flood water","body of water, flood water",,,1,0.7289704084396362,Equivalent
A33,Natural disaster,Natural disaster caused by electrostatic discharge,PJ00,Victim of lightning,victim of lightning,,,1,0.6795785427093506,ERC-Narrower
A34,Natural disaster,Natural disaster caused by shaking of the Earth's surface,PJ02,Victim of cataclysmic earth movements caused by earthquake,victim of cataclysmic earth movements caused by earthquake,,,1,0.7068108916282654,ERC-Narrower
A35,Natural disaster,Natural disaster caused by rapid flow of snow down a slope,PJ05,"Victim of avalanche, landslide or other earth movements","victim of avalanche, landslide or other earth movements",,,1,0.7033863663673401,ERC-Narrower
A36,Natural disaster,Natural disaster caused by the exhibition of magma from earth's surface,PJ02,Victim of cataclysmic earth movements caused by earthquake,victim of cataclysmic earth movements caused by earthquake,,,1,0.49983325600624084,Related to
A37,Natural disaster,Natural disaster caused by the displacement of a large volume of water,XE0CX,"Body of water, flood water","body of water, flood water",,,1,0.6191058158874512,ERC-Narrower
A38,Natural disaster,"Natural disaster caused by the movement of rock, earth, or debris down a slope",PJ05,"Victim of avalanche, landslide or other earth movements","victim of avalanche, landslide or other earth movements",,,1,0.6835228800773621,ERC-Narrower
A39,Natural disaster,Natural event caused by prolonged periods of high temperature or lack of water,XE0CX,"Body of water, flood water","body of water, flood water",,,1,0.4976789653301239,Related to
A310,Natural disaster,Natural event caused by prolonged periods of low temperature or lack of heat,PJ05,"Victim of avalanche, landslide or other earth movements","victim of avalanche, landslide or other earth movements",,,1,0.43929895758628845,Related to
A4,Technical disaster,Adverse event with one or more direct human causes,PA01,Unintentional land transport traffic event injuring the user of a pedestrian conveyance,unintentional land transport traffic event injuring the user of a pedestrian conveyance,,unintentional road crash injuring the user of a pedestrian conveyance,1,0.5513909459114075,ERC-Broader
