ERC_ID,Code,Title_clean,Subdivision_clean,Definition_clean,Including,Excluding,Parent,Children,concept_text
A1,A-1,Transport accident,,Adverse event in transport resulting in property damage and/or bodily injury,,,A,"['A-1.1', 'A-1.2', 'A-1.3']",Transport accident Adverse event in transport resulting in property damage and/or bodily injury
A11,A-1.1,Transport accident,Collision,Transport accident involving a collision of vehicles and/or humans,"Vehicle-vehicle collision, vehicle-human collision, vehicle-obstacle collision",Entrapment,A-1,[],Transport accident Collision Transport accident involving a collision of vehicles and/or humans
A12,A-1.2,Transport accident,Fall,Transport accident involving a crash of vehicles and/or humans into the deep,,Collision,A-1,[],Transport accident Fall Transport accident involving a crash of vehicles and/or humans into the deep
A13,A-1.3,Transport accident,Entrapment,Transport accident involving an entrapment of humans,,,A-1,[],Transport accident Entrapment Transport accident involving an entrapment of humans
A2,A-2,Fall,,"An adverse event involving a loss of stability or a descent to a lower position, resulting in a human fall.",,,A,"['A-2.1', 'A-2.2', 'A-2.3']","Fall An adverse event involving a loss of stability or a descent to a lower position, resulting in a human fall."
A21,A-2.1,Fall,Fall on the same level or from less than 1 meter*,"Falling downward due to gravity, but without a significant change in height or elevation.","Stumbling, slipping, falling from standing position, tripping",Falls in/from modes of transport,A-2,[],"Fall Fall on the same level or from less than 1 meter* Falling downward due to gravity, but without a significant change in height or elevation."
A22,A-2.2,Fall,Fall from a height of 1 meter or more,"Falling downward due to gravity, with a significant change in height or elevation.","Stair, ladder, building",Falls in/from modes of transport,A-2,[],"Fall Fall from a height of 1 meter or more Falling downward due to gravity, with a significant change in height or elevation."
A23,A-2.3,Fall,Fall from unspecified height,"Falling downward due to gravity, where the height is unspecified.",,,A-2,[],"Fall Fall from unspecified height Falling downward due to gravity, where the height is unspecified."
A3,A-3,Natural disaster,,Adverse event with one or more direct natural causes,,,A,"['A-3.1', 'A-3.2', 'A-3.3', 'A-3.4', 'A-3.5', 'A-3.6', 'A-3.7', 'A-3.8', 'A-3.9', 'A-3.10']",Natural disaster Adverse event with one or more direct natural causes
A31,A-3.1,Natural disaster,Storm,Natural disaster caused by strong wind,Tornado cyclone,,A-3,[],Natural disaster Storm Natural disaster caused by strong wind
A32,A-3.2,Natural disaster,Flood,Natural disaster caused by high-water levels on usually dry ground,,,A-3,[],Natural disaster Flood Natural disaster caused by high-water levels on usually dry ground
A33,A-3.3,Natural disaster,Lightning,Natural disaster caused by electrostatic discharge,,,A-3,[],Natural disaster Lightning Natural disaster caused by electrostatic discharge
A34,A-3.4,Natural disaster,Earthquake,Natural disaster caused by shaking of the Earth's surface,Earth movement,,A-3,[],Natural disaster Earthquake Natural disaster caused by shaking of the Earth's surface
A35,A-3.5,Natural disaster,Avalanche,Natural disaster caused by rapid flow of snow down a slope,"Flow of mud, flow of ice",,A-3,[],Natural disaster Avalanche Natural disaster caused by rapid flow of snow down a slope
A36,A-3.6,Natural disaster,Volcano eruption,Natural disaster caused by the exhibition of magma from earth's surface,"Exhibition of tephra, exhibition of gases",,A-3,[],Natural disaster Volcano eruption Natural disaster caused by the exhibition of magma from earth's surface
A37,A-3.7,Natural disaster,Tsunami,Natural disaster caused by the displacement of a large volume of water,,,A-3,[],Natural disaster Tsunami Natural disaster caused by the displacement of a large volume of water
A38,A-3.8,Natural disaster,Landslide,"Natural disaster caused by the movement of rock, earth, or debris down a slope",,,A-3,[],"Natural disaster Landslide Natural disaster caused by the movement of rock, earth, or debris down a slope"
A39,A-3.9,Natural disaster,Extreme heat/drought,Natural event caused by prolonged periods of high temperature or lack of water,Wildfire,,A-3,[],Natural disaster Extreme heat/drought Natural event caused by prolonged periods of high temperature or lack of water
A310,A-3.10,Natural disaster,Extreme cold,Natural event caused by prolonged periods of low temperature or lack of heat,Cold wave,,A-3,[],Natural disaster Extreme cold Natural event caused by prolonged periods of low temperature or lack of heat
A4,A-4,Technical disaster,,Adverse event with one or more direct human causes,,,A,"['A-4.1', 'A-4.2', 'A-4.3', 'A-4.4', 'A-4.5', 'A-4.6', 'A-4.7', 'A-4.8']",Technical disaster Adverse event with one or more direct human causes
