Code,Title,Definition,URI,Parent_URI
,ICD-11 for Mortality and Morbidity Statistics,,https://id.who.int/icd/release/11/2024-01/mms,
01,Certain infectious or parasitic diseases,,https://id.who.int/icd/release/11/2024-01/mms/1435254666,
11,Diseases of the circulatory system,,https://id.who.int/icd/release/11/2024-01/mms/426429380,
12,Diseases of the respiratory system,,https://id.who.int/icd/release/11/2024-01/mms/197934298,
13,Diseases of the digestive system,,https://id.who.int/icd/release/11/2024-01/mms/1256772020,
03,Diseases of the blood or blood-forming organs,,https://id.who.int/icd/release/11/2024-01/mms/1766440644,
14,Diseases of the skin,,https://id.who.int/icd/release/11/2024-01/mms/1639304259,
02,Neoplasms,,https://id.who.int/icd/release/11/2024-01/mms/1630407678,
15,Diseases of the musculoskeletal system or connective tissue,,https://id.who.int/icd/release/11/2024-01/mms/1473673350,
04,Diseases of the immune system,,https://id.who.int/icd/release/11/2024-01/mms/1954798891,
16,Diseases of the genitourinary system,,https://id.who.int/icd/release/11/2024-01/mms/30659757,
17,Conditions related to sexual health,,https://id.who.int/icd/release/11/2024-01/mms/577470983,
18,"Pregnancy, childbirth or the puerperium",,https://id.who.int/icd/release/11/2024-01/mms/714000734,
20,Developmental anomalies,,https://id.who.int/icd/release/11/2024-01/mms/223744320,
19,Certain conditions originating in the perinatal period,,https://id.who.int/icd/release/11/2024-01/mms/1306203631,
05,"Endocrine, nutritional or metabolic diseases",,https://id.who.int/icd/release/11/2024-01/mms/21500692,
06,"Mental, behavioural or neurodevelopmental disorders",,https://id.who.int/icd/release/11/2024-01/mms/334423054,
08,Diseases of the nervous system,,https://id.who.int/icd/release/11/2024-01/mms/1296093776,
10,Diseases of the ear or mastoid process,,https://id.who.int/icd/release/11/2024-01/mms/1218729044,
09,Diseases of the visual system,,https://id.who.int/icd/release/11/2024-01/mms/868865918,
07,Sleep-wake disorders,,https://id.who.int/icd/release/11/2024-01/mms/274880002,
25,Codes for special purposes,,https://id.who.int/icd/release/11/2024-01/mms/1596590595,
21,"Symptoms, signs or clinical findings, not elsewhere classified",,https://id.who.int/icd/release/11/2024-01/mms/1843895818,
26,Supplementary Chapter Traditional Medicine Conditions,,https://id.who.int/icd/release/11/2024-01/mms/718687701,
V,Supplementary section for functioning assessment,,https://id.who.int/icd/release/11/2024-01/mms/231358748,
,Predominantly sexually transmitted infections,,https://id.who.int/icd/release/11/2024-01/mms/1904876434,
22,"Injury, poisoning or certain other consequences of external causes",,https://id.who.int/icd/release/11/2024-01/mms/435227771,
,Gastroenteritis or colitis of infectious origin,,https://id.who.int/icd/release/11/2024-01/mms/588616678,
23,External causes of morbidity or mortality,,https://id.who.int/icd/release/11/2024-01/mms/850137482,
,Mycobacterial diseases,,https://id.who.int/icd/release/11/2024-01/mms/979278646,
,Pyogenic bacterial infections of the skin or subcutaneous tissues,,https://id.who.int/icd/release/11/2024-01/mms/1412960686,
,Other bacterial diseases,,https://id.who.int/icd/release/11/2024-01/mms/487269828,
,Certain staphylococcal or streptococcal diseases,,https://id.who.int/icd/release/11/2024-01/mms/1539889147,
,Certain zoonotic bacterial diseases,,https://id.who.int/icd/release/11/2024-01/mms/1935092859,
,Human immunodeficiency virus disease,,https://id.who.int/icd/release/11/2024-01/mms/1000704511,
,Dengue,,https://id.who.int/icd/release/11/2024-01/mms/1959883044,
,Certain arthropod-borne viral fevers,,https://id.who.int/icd/release/11/2024-01/mms/921595235,
X,Extension Codes,,https://id.who.int/icd/release/11/2024-01/mms/979408586,
,Viral infections of the central nervous system,,https://id.who.int/icd/release/11/2024-01/mms/1104303944,
,Non-viral and unspecified infections of the central nervous system,,https://id.who.int/icd/release/11/2024-01/mms/1585949804,
24,Factors influencing health status or contact with health services,,https://id.who.int/icd/release/11/2024-01/mms/1249056269,
,Viral infections characterised by skin or mucous membrane lesions,,https://id.who.int/icd/release/11/2024-01/mms/1646490591,
,Sepsis,,https://id.who.int/icd/release/11/2024-01/mms/293771399,
,Certain zoonotic viral diseases,,https://id.who.int/icd/release/11/2024-01/mms/1251496839,
,Parasitic diseases,,https://id.who.int/icd/release/11/2024-01/mms/255141529,
1G60,Certain other disorders of infectious origin,,https://id.who.int/icd/release/11/2024-01/mms/1760597414,
,Mycoses,,https://id.who.int/icd/release/11/2024-01/mms/1939815950,
,Certain other viral diseases,,https://id.who.int/icd/release/11/2024-01/mms/1136802325,
,Viral hepatitis,,https://id.who.int/icd/release/11/2024-01/mms/985510409,
,Influenza,,https://id.who.int/icd/release/11/2024-01/mms/145723401,
1H0Z,"Infection, unspecified",,https://id.who.int/icd/release/11/2024-01/mms/1435254666/unspecified,
,Ischaemic heart diseases,,https://id.who.int/icd/release/11/2024-01/mms/1964269418,
,Hypotension,,https://id.who.int/icd/release/11/2024-01/mms/1663360295,
,Sequelae of infectious diseases,,https://id.who.int/icd/release/11/2024-01/mms/458687859,
