MMS_Code,MMS_Title,MMS_URI,MMS_Parent_URI,Query,Search_Title,Search_Definition,Search_URI,Search_Parent_URI,Search_Children,Search_Synonyms,Match_Type
ICD-11 block title,Unintentional water transport injury event,https://id.who.int/icd/release/11/2024-01/mms/1596356387,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Exact Title
PA40,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed",https://id.who.int/icd/release/11/2024-01/mms/1886732125,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA41,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed",https://id.who.int/icd/release/11/2024-01/mms/984359080,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA4Z,Unintentional water transport injury event with damage to water vessel unspecified,https://id.who.int/icd/release/11/2024-01/mms/1596356387/unspecified,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA40.Z,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing unspecified injury",https://id.who.int/icd/release/11/2024-01/mms/1886732125/unspecified,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA40.0,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning",https://id.who.int/icd/release/11/2024-01/mms/1246373641,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA40.1,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury",https://id.who.int/icd/release/11/2024-01/mms/788654749,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA41.Z,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury",https://id.who.int/icd/release/11/2024-01/mms/984359080/unspecified,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA41.0,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning",https://id.who.int/icd/release/11/2024-01/mms/1538046562,,Transport accident,Unintentional water transport injury event,,http://id.who.int/icd/entity/1596356387,,[],Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,Partial Title
PA50,Unintentional air or space transport injury event,https://id.who.int/icd/release/11/2024-01/mms/69852207,,Transport accident,Unintentional air or space transport injury event,,http://id.who.int/icd/entity/69852207,,[],Air and space transport accidents; Air transport accident NOS; Aircraft accident NOS; accidents to nonoccupants of aircraft,Exact Title
PA50.0,"Unintentional air or space transport injury event with aircraft or spacecraft not damaged, disabled or destroyed",https://id.who.int/icd/release/11/2024-01/mms/216927879,,Transport accident,Unintentional air or space transport injury event,,http://id.who.int/icd/entity/69852207,,[],Air and space transport accidents; Air transport accident NOS; Aircraft accident NOS; accidents to nonoccupants of aircraft,Partial Title
PA50.1,"Unintentional air or space transport injury event with aircraft or spacecraft damaged, disabled or destroyed",https://id.who.int/icd/release/11/2024-01/mms/398815501,,Transport accident,Unintentional air or space transport injury event,,http://id.who.int/icd/entity/69852207,,[],Air and space transport accidents; Air transport accident NOS; Aircraft accident NOS; accidents to nonoccupants of aircraft,Partial Title
PA50.Z,"Unintentional air or space transport injury event, unspecified",https://id.who.int/icd/release/11/2024-01/mms/69852207/unspecified,,Transport accident,Unintentional air or space transport injury event,,http://id.who.int/icd/entity/69852207,,[],Air and space transport accidents; Air transport accident NOS; Aircraft accident NOS; accidents to nonoccupants of aircraft,Partial Title
ICD-11 block title,Unintentional land transport injury event unknown whether road traffic or off-road nontraffic,https://id.who.int/icd/release/11/2024-01/mms/79623775,,Transport accident,Unintentional land transport injury event unknown whether road traffic or off-road nontraffic,,http://id.who.int/icd/entity/79623775,,[],unintentional land transport injury event unknown whether on road or off-road; land transport accident NOS; motor vehicle accident NOS; MVA - [motor vehicle accident] NOS; MVC - [motor vehicle crash]; motor vehicle collision NOS; head on collision NOS; auti accident NOS,Exact Title
PA00,Unintentional land transport traffic event injuring a pedestrian,https://id.who.int/icd/release/11/2024-01/mms/1114138453,,Transport accident,Unintentional land transport traffic event injuring a pedestrian,,http://id.who.int/icd/entity/1114138453,,[],pedestrian injured in transport accident,Exact Title
ICD-11 block title,Unintentional land transport off-road nontraffic injury event,https://id.who.int/icd/release/11/2024-01/mms/714231201,,Transport accident,Unintentional land transport off-road nontraffic injury event,,http://id.who.int/icd/entity/714231201,,[],unintentional land transport injury event occurring off-road; unintentional off-road crash; nontraffic land transport accident,Exact Title
PA07,Unintentional land transport traffic event injuring an occupant of a heavy goods vehicle,https://id.who.int/icd/release/11/2024-01/mms/1573350953,,Transport accident,Unintentional land transport traffic event injuring an occupant of a heavy goods vehicle,,http://id.who.int/icd/entity/1573350953,,[],"occupant of heavy transport vehicle injured in transport accident; Unintentional land transport traffic event injuring an occupant of a heavy transport vehicle; Collision NOS involving heavy transport vehicle, traffic; Accident NOS involving heavy transport vehicle",Exact Title
PA04,Unintentional land transport traffic event injuring a car occupant,https://id.who.int/icd/release/11/2024-01/mms/1758338082,,Transport accident,Unintentional land transport traffic event injuring a car occupant,,http://id.who.int/icd/entity/1758338082,,[],car occupant injured in transport accident,Exact Title
PA05,Unintentional land transport traffic event injuring an occupant of a bus or coach,https://id.who.int/icd/release/11/2024-01/mms/721114126,,Transport accident,Unintentional land transport traffic event injuring an occupant of a bus or coach,,http://id.who.int/icd/entity/721114126,,[],"Bus occupant injured in transport accident; Bus collision NOS, traffic; Bus accident NOS",Exact Title
PA08,Unintentional land transport traffic event injuring an occupant of a streetcar or tram,https://id.who.int/icd/release/11/2024-01/mms/495939346,,Transport accident,Unintentional land transport traffic event injuring an occupant of a streetcar or tram,,http://id.who.int/icd/entity/495939346,,[],Occupant of streetcar injured in transport accident; person on outside of streetcar injured in transport accident; Streetcar accident NOS,Exact Title
