Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Transport accident,http://id.who.int/icd/entity/1596356387,Unintentional water transport injury event,,Water transport accidents; Boat transport accident NOS; ship transport accident NOS; Watercraft transport accident NOS,,[]
Transport accident,http://id.who.int/icd/entity/69852207,Unintentional air or space transport injury event,,Air and space transport accidents; Air transport accident NOS; Aircraft accident NOS; accidents to nonoccupants of aircraft,,[]
Transport accident,http://id.who.int/icd/entity/79623775,Unintentional land transport injury event unknown whether road traffic or off-road nontraffic,,unintentional land transport injury event unknown whether on road or off-road; land transport accident NOS; motor vehicle accident NOS; MVA - [motor vehicle accident] NOS; MVC - [motor vehicle crash]; motor vehicle collision NOS; head on collision NOS; auti accident NOS,,[]
Transport accident,http://id.who.int/icd/entity/1114138453,Unintentional land transport traffic event injuring a pedestrian,,pedestrian injured in transport accident,,[]
Transport accident,http://id.who.int/icd/entity/714231201,Unintentional land transport off-road nontraffic injury event,,unintentional land transport injury event occurring off-road; unintentional off-road crash; nontraffic land transport accident,,[]
Transport accident,http://id.who.int/icd/entity/1273171148,Pedestrian injured in other and unspecified transport accidents,,,,[]
Transport accident,http://id.who.int/icd/entity/1573350953,Unintentional land transport traffic event injuring an occupant of a heavy goods vehicle,,"occupant of heavy transport vehicle injured in transport accident; Unintentional land transport traffic event injuring an occupant of a heavy transport vehicle; Collision NOS involving heavy transport vehicle, traffic; Accident NOS involving heavy transport vehicle",,[]
Transport accident,http://id.who.int/icd/entity/1758338082,Unintentional land transport traffic event injuring a car occupant,,car occupant injured in transport accident,,[]
Transport accident,http://id.who.int/icd/entity/721114126,Unintentional land transport traffic event injuring an occupant of a bus or coach,,"Bus occupant injured in transport accident; Bus collision NOS, traffic; Bus accident NOS",,[]
Transport accident,http://id.who.int/icd/entity/472270037,Pedal cyclist injured in other and unspecified transport accidents,,"Pedal cycle collision NOS, traffic; Pedal cycle accident NOS; Bicycle accident NOS; Bicycle collision NOS, traffic; bicyclist injured in other and unspecified transport accident",,[]
Transport accident,http://id.who.int/icd/entity/551890744,Sequelae of transport accidents,,late effect of transport accidents,,[]
Transport accident,http://id.who.int/icd/entity/495939346,Unintentional land transport traffic event injuring an occupant of a streetcar or tram,,Occupant of streetcar injured in transport accident; person on outside of streetcar injured in transport accident; Streetcar accident NOS,,[]
Transport accident,http://id.who.int/icd/entity/813225239,Car occupant injured in other and unspecified transport accidents,,"Car collision NOS, traffic",,[]
Transport accident,http://id.who.int/icd/entity/935916226,Bus occupant injured in other and unspecified transport accidents,,,,[]
Transport accident,http://id.who.int/icd/entity/1929426168,Other and unspecified water transport accidents involving water-skis,,,,[]
Transport accident,http://id.who.int/icd/entity/380853503,Unintentional land transport nontraffic event injuring an occupant of a heavy goods vehicle,,"Unintentional land transport nontraffic event injuring an occupant of a heavy transport vehicle; Collision NOS involving heavy transport vehicle, nontraffic; Accident NOS involving heavy transport vehicle, nontraffic; Occupant of heavy transport vehicle injured in nontraffic accident NOS",,[]
Transport accident,http://id.who.int/icd/entity/388467595,Sequelae of other and unspecified transport accidents,,late effect of other and unspecified transport accidents,,[]
Transport accident,http://id.who.int/icd/entity/128836615,Other and unspecified water transport accidents involving sailboat,,,,[]
Transport accident,http://id.who.int/icd/entity/324760454,Unintentional land transport traffic event injuring a motor cyclist,,motorcycle rider injured in transport accident; unintentional land transport accident motorbike; motorbike accident; motorbike traffic accident; Motorcycle accident NOS,,[]
Transport accident,http://id.who.int/icd/entity/899593763,Other and unspecified water transport accidents involving yacht,,,,[]
Transport accident,http://id.who.int/icd/entity/1153230466,Other and unspecified water transport accidents involving liner,,,,[]
Transport accident,http://id.who.int/icd/entity/1915625996,Other and unspecified water transport accidents involving windsurfer,,,,[]
Transport accident,http://id.who.int/icd/entity/2037221697,Pedal cyclist injured in noncollision transport accident,,bicyclist injured in noncollision transport accident,,[]
Transport accident,http://id.who.int/icd/entity/277813817,Parachutist injured in air transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/1611512539,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,,,,[]
Transport accident,http://id.who.int/icd/entity/1429411971,Car occupant injured in noncollision transport accident,,overturning car; overturned car,,[]
Transport accident,http://id.who.int/icd/entity/1384333144,Bus occupant injured in noncollision transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/462840578,Motorcycle rider injured in other and unspecified transport accidents,,,,[]
Transport accident,http://id.who.int/icd/entity/1975834541,Person on ground injured in air transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/1950578579,Other and unspecified water transport accidents involving other powered watercraft,,,,[]
Transport accident,http://id.who.int/icd/entity/1705372410,Other and unspecified water transport accidents involving passenger ship,,,,[]
Transport accident,http://id.who.int/icd/entity/285784583,Other and unspecified water transport accidents involving fishing boat,,,,[]
Transport accident,http://id.who.int/icd/entity/1851915398,Unintentional land transport traffic event injuring a user of a special construction vehicle,,occupant of special construction vehicle injured in transport accident; Special-construction-vehicle accident NOS,,[]
Transport accident,http://id.who.int/icd/entity/88504143,Occupant of heavy transport vehicle injured in noncollision transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/1763852271,Occupant of railway train or railway vehicle injured in transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/15607660,Other and unspecified water transport accidents involving merchant ship,,,,[]
Transport accident,http://id.who.int/icd/entity/700938044,Examination or observation following transport accident,,examination following motor vehicle accident,,[]
Transport accident,http://id.who.int/icd/entity/192763439,Car occupant injured in noncollision transport accident : unspecified car occupant injured in traffic accident,,,,[]
Transport accident,http://id.who.int/icd/entity/995308412,Bus occupant injured in noncollision transport accident : unspecified bus occupant injured in traffic accident,,,,[]
Transport accident,http://id.who.int/icd/entity/337399188,Car occupant injured in noncollision transport accident : unspecified car occupant injured in nontraffic accident,,,,[]
Transport accident,http://id.who.int/icd/entity/2128457364,Motorcycle rider injured in noncollision transport accident,,,,[]
Transport accident,http://id.who.int/icd/entity/607267009,Bus occupant injured in noncollision transport accident : unspecified bus occupant injured in nontraffic accident,,,,[]
Transport accident,http://id.who.int/icd/entity/289385137,Other and unspecified water transport accidents involving jet skis,,,,[]
Transport accident,http://id.who.int/icd/entity/1372365398,Other and unspecified water transport accidents involving surf-board,,,,[]
Transport accident,http://id.who.int/icd/entity/1146691090,Other and unspecified water transport accidents involving ferry-boat,,,,[]
Transport accident,http://id.who.int/icd/entity/1659251091,Other and unspecified water transport accidents involving canoe or kayak,,,,[]
Transport accident,http://id.who.int/icd/entity/1527773658,"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident",,,,[]
Transport accident,http://id.who.int/icd/entity/556085235,Pedal cyclist injured in noncollision transport accident : unspecified pedal cyclist injured in nontraffic accident,,,,[]
Transport accident,http://id.who.int/icd/entity/1684490659,Unintentional land transport traffic event injuring an occupant of a low powered passenger vehicle,,Occupant of three-wheeled motor vehicle injured in transport accident,,[]
Transport accident,http://id.who.int/icd/entity/726208589,Occupant of heavy transport vehicle injured in noncollision transport accident : unspecified occupant of heavy transport vehicle injured in traffic accident,,,,[]
Fall,http://id.who.int/icd/entity/134290789,Unintentional fall,,fall NOS; accidental fall; fall causing injury that resulted in death; fell NOS; mechanical fall NOS; fall to floor; fell to floor; fall at home; fell at home; fall at residence; fall at nursing home; fall from unknown height,,[]
Fall,http://id.who.int/icd/entity/1093196899,Tendency to fall,,Tendency to fall because of old age or other unclear health problems; recurrent falls; repeated falls; falls NOS; multiple falls NOS,,[]
Fall,http://id.who.int/icd/entity/783139626,Complications of fall,,,,[]
Fall,http://id.who.int/icd/entity/1822613699,"Struck by thrown, projected or falling object",,falling object,,[]
Fall,http://id.who.int/icd/entity/1688850216,Sensation of falling,Sensation of losing one's grip and falling.,,,[]
Fall,http://id.who.int/icd/entity/1425675101,Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle,,fall in train; fall on train,,[]
Fall,http://id.who.int/icd/entity/1363622909,Fall in health care,,fall in hospital,,[]
Fall,http://id.who.int/icd/entity/996246205,Fall in bathtub,,,,[]
Fall,http://id.who.int/icd/entity/542589858,Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,,fall from train,,[]
Fall,http://id.who.int/icd/entity/1045802307,Fall in shower,,,,[]
